trait,organ,mye_logp,epi_logp,epi_minus_mye,epi_dom
FTD,Bone_Marrow,1.3226441327435006,,,False
FTD,Heart,0.43209886222203675,,,False
FTD,Kidney,0.8730225887975961,0.914263113231967,0.04124052443437087,True
FTD,Liver,1.2861978570058963,0.6637320929799738,-0.6224657640259225,False
FTD,Lung,1.287939649295335,0.5286116953740744,-0.7593279539212606,False
FTD,Muscle,0.6399916683893281,,,False
FTD,Spleen,0.49529262282694897,,,False
FTD,Stomach,0.6885688975503733,0.34774871856160894,-0.3408201789887644,False
FTD,Ileum,0.3660224819335883,0.9111712926099098,0.5451488106763216,True
FTD,Colon,0.25845137841400156,0.9341507998274607,0.6756994214134592,True
FTD,Thymus,,,,False
FTD,Pancreas,,,,False
FTD,Skin,,,,False
T2D,Brain,3.6857001479769744,0.5550916877218489,-3.1306084602551256,False
T2D,BAT,2.9650429661048006,3.287426641799334,0.3223836756945335,True
T2D,Bone_Marrow,4.746139914845771,,,False
T2D,Heart,2.458324205149337,,,False
T2D,Kidney,2.6129003579379924,4.682192568843114,2.0692922109051213,True
T2D,Liver,3.0999560242271773,4.5309166729475985,1.4309606487204212,True
T2D,Lung,3.6975996812727248,4.390615498155102,0.6930158168823777,True
T2D,Muscle,4.043302517626994,,,False
T2D,Spleen,2.147020324435541,,,False
T2D,Stomach,2.4496665368093433,3.3226609312589472,0.8729943944496039,True
T2D,Ileum,3.509039466123467,3.3036419840575983,-0.2053974820658686,False
T2D,Colon,2.2226873463813837,5.75178523983806,3.529097893456676,True
T2D,Thymus,,,,False
T2D,Pancreas,,,,False
T2D,Skin,,,,False
SCZ,Brain,6.928246630577835,1.5426227246618047,-5.38562390591603,False
SCZ,BAT,4.367068268054489,2.5883710435304654,-1.778697224524024,False
SCZ,Bone_Marrow,3.1309353244993874,,,False
SCZ,Heart,3.765923867889019,,,False
SCZ,Kidney,3.158568575608622,5.478029370525089,2.319460794916467,True
SCZ,Liver,4.048923019108467,4.788116682255142,0.7391936631466747,True
SCZ,Lung,5.583398479434631,4.970210678698696,-0.6131878007359353,False
SCZ,Muscle,3.4040439552040125,,,False
SCZ,Spleen,3.3034805506225893,,,False
SCZ,Stomach,3.869275502651867,4.406112839174841,0.5368373365229742,True
SCZ,Ileum,5.896834464168537,5.036518825891011,-0.8603156382775259,False
SCZ,Colon,3.6150477231332294,5.541844872791225,1.9267971496579959,True
SCZ,Thymus,,,,False
SCZ,Pancreas,,,,False
SCZ,Skin,,,,False
Height,Brain,16.64518309467453,2.29460417066974,-14.35057892400479,False
Height,BAT,8.10644484876195,10.994361656480153,2.887916807718204,True
Height,Bone_Marrow,11.664132206122964,,,False
Height,Heart,8.022984005206723,,,False
Height,Kidney,9.191832155561086,12.135045834649135,2.94321367908805,True
Height,Liver,11.060284786588745,9.233643824427347,-1.8266409621613988,False
Height,Lung,10.17629305551983,12.798950136431227,2.622657080911397,True
Height,Muscle,7.482022337128416,,,False
Height,Spleen,8.059928707869872,,,False
Height,Stomach,5.644731263970727,6.9882430002681675,1.3435117362974403,True
Height,Ileum,8.404514964317373,8.098817452847863,-0.30569751146951063,False
Height,Colon,5.233165816145919,15.255619765854984,10.022453949709064,True
Height,Thymus,,,,False
Height,Pancreas,,,,False
Height,Skin,,,,False
