umap_1,umap_2,age,cell_type,Picalm,Adam10,App,Sorl1,Psen1
-1.9802662,13.76853,0d,Colonocyte,0.0,1.0,5.0,0.0,1.0
0.64335763,9.254741,0d,TA,0.0,1.0,3.0,2.0,2.0
-8.230341,6.72703,0d,TA,0.0,1.0,6.0,2.0,1.0
2.6511328,24.944439,0d,Mesothelial,1.0,3.0,2.0,0.0,2.0
2.7709007,24.071846,0d,Mesothelial,0.0,1.0,1.0,0.0,0.0
12.459364,12.149775,0d,Glia,0.0,1.0,0.0,1.0,1.0
4.6815076,20.76099,0d,SMC,0.0,0.0,1.0,0.0,0.0
2.428155,24.597036,0d,Mesothelial,2.0,4.0,3.0,0.0,0.0
3.7891269,16.165052,0d,SMC,0.0,0.0,1.0,0.0,0.0
2.9074922,16.027687,0d,Fibroblast,0.0,1.0,2.0,0.0,0.0
-2.8730173,7.127197,0d,TA,0.0,0.0,1.0,1.0,1.0
6.082443,6.4599376,0d,Cycling,0.0,0.0,0.0,0.0,0.0
-2.7398937,15.451583,0d,Colonocyte,2.0,0.0,2.0,0.0,2.0
3.0269678,15.578064,0d,Fibroblast,1.0,0.0,0.0,0.0,0.0
6.5967035,20.689064,0d,SMC,1.0,0.0,0.0,0.0,1.0
-0.5842595,9.397047,0d,TA,0.0,2.0,0.0,4.0,0.0
-1.7962879,14.303877,0d,Colonocyte,2.0,0.0,3.0,1.0,3.0
2.488149,6.9727306,0d,Cycling,2.0,2.0,2.0,1.0,0.0
-3.43442,5.5711675,0d,TA,0.0,1.0,4.0,2.0,1.0
2.5181365,24.101446,0d,Mesothelial,0.0,1.0,3.0,0.0,0.0
5.6021223,6.705085,0d,Cycling,0.0,1.0,3.0,1.0,0.0
-8.761927,11.10299,0d,TA,1.0,1.0,1.0,1.0,1.0
4.3143845,8.907902,0d,Cycling,0.0,1.0,0.0,1.0,1.0
2.8137755,24.147688,0d,Mesothelial,1.0,2.0,0.0,0.0,0.0
-3.2339175,5.669149,0d,TA,1.0,4.0,5.0,6.0,1.0
5.1769667,6.5816107,0d,Cycling,0.0,0.0,3.0,0.0,0.0
0.6347747,10.988964,0d,TA,0.0,0.0,2.0,0.0,1.0
2.4833422,16.320286,0d,Fibroblast,0.0,1.0,0.0,0.0,0.0
-0.9845749,14.316787,0d,Colonocyte,0.0,0.0,1.0,2.0,0.0
-2.8784418,25.365923,0d,Vascular,0.0,0.0,0.0,0.0,0.0
4.8528976,19.823704,0d,SMC,0.0,1.0,1.0,0.0,0.0
2.8211796,24.507591,0d,Mesothelial,0.0,2.0,4.0,0.0,0.0
-9.434306,5.9942455,0d,TA,1.0,0.0,2.0,0.0,0.0
-9.379189,4.544878,0d,TA,0.0,0.0,0.0,1.0,0.0
2.4870608,24.210075,0d,Mesothelial,1.0,2.0,2.0,0.0,1.0
1.2983207,3.6674864,0d,Stem,0.0,0.0,8.0,2.0,1.0
3.0375614,7.1950603,0d,Cycling,1.0,2.0,4.0,0.0,1.0
4.559874,16.044151,0d,Fibroblast,2.0,0.0,2.0,0.0,0.0
5.27512,9.480688,0d,Cycling,0.0,2.0,1.0,0.0,0.0
2.6037076,23.966394,0d,Mesothelial,0.0,5.0,1.0,0.0,0.0
-0.35383663,14.9633465,0d,TA,1.0,2.0,0.0,1.0,0.0
5.435725,15.933539,0d,Fibroblast,0.0,0.0,1.0,1.0,1.0
5.721865,20.054518,0d,SMC,1.0,0.0,0.0,0.0,0.0
2.5113537,24.20473,0d,Mesothelial,0.0,2.0,3.0,0.0,0.0
2.9721656,24.002028,0d,Mesothelial,1.0,4.0,2.0,0.0,0.0
-7.5822573,5.3936834,0d,TA,2.0,0.0,3.0,3.0,1.0
4.1057153,-3.0705938,0d,Enteroendocrine,0.0,0.0,0.0,2.0,0.0
5.6751842,6.4918933,0d,Cycling,0.0,0.0,1.0,1.0,1.0
3.927559,-2.9699183,0d,Enteroendocrine,0.0,0.0,5.0,2.0,0.0
-3.2633886,24.944767,0d,Vascular,0.0,2.0,3.0,0.0,0.0
2.6863923,23.601969,0d,Mesothelial,0.0,0.0,0.0,0.0,0.0
-9.01428,12.103259,0d,TA,2.0,1.0,0.0,1.0,3.0
3.3877447,9.965722,0d,Cycling,0.0,1.0,2.0,4.0,0.0
-8.69656,11.663726,0d,TA,0.0,0.0,6.0,1.0,2.0
2.8330526,3.8519058,0d,Stem,0.0,0.0,3.0,0.0,0.0
2.820537,24.455751,0d,Mesothelial,3.0,2.0,4.0,0.0,0.0
2.8922694,23.215279,0d,Mesothelial,0.0,0.0,2.0,0.0,0.0
5.403397,7.8363023,0d,Cycling,0.0,0.0,0.0,0.0,1.0
-1.9858718,14.06357,0d,Colonocyte,1.0,4.0,3.0,3.0,2.0
-9.425495,9.136974,0d,TA,0.0,0.0,3.0,2.0,1.0
5.7800307,7.315678,0d,Cycling,0.0,2.0,1.0,3.0,0.0
-4.670656,8.870944,0d,Cycling,2.0,1.0,0.0,0.0,0.0
-8.672598,12.378178,0d,TA,0.0,2.0,7.0,0.0,0.0
-8.277023,4.4703236,0d,TA,0.0,0.0,1.0,0.0,1.0
5.2543707,13.887583,0d,Fibroblast,0.0,0.0,0.0,0.0,0.0
-9.786565,8.629105,0d,TA,1.0,0.0,2.0,0.0,1.0
-0.06878993,11.515756,0d,Colonocyte,1.0,3.0,0.0,4.0,1.0
11.028264,17.443466,0d,Lymphatic,0.0,4.0,0.0,0.0,0.0
2.8126822,23.497923,0d,Mesothelial,0.0,2.0,3.0,0.0,0.0
-1.0543603,14.710164,0d,Colonocyte,3.0,0.0,0.0,0.0,1.0
6.028158,6.513491,0d,Cycling,0.0,0.0,3.0,1.0,0.0
-2.2564976,15.180158,0d,Colonocyte,0.0,1.0,1.0,0.0,0.0
2.496329,15.942457,0d,Fibroblast,2.0,0.0,1.0,0.0,0.0
2.8700004,23.585352,0d,Mesothelial,0.0,1.0,1.0,0.0,0.0
0.8812147,-0.8388169,0d,Enteroendocrine,0.0,0.0,8.0,0.0,0.0
1.7254078,5.309014,0d,Stem,0.0,0.0,1.0,0.0,0.0
2.6476278,23.996773,0d,Mesothelial,0.0,0.0,0.0,0.0,0.0
12.390343,12.145174,0d,Glia,0.0,0.0,0.0,0.0,0.0
4.4028645,7.7339406,0d,Cycling,1.0,2.0,2.0,3.0,1.0
-1.6052198,14.987179,0d,Colonocyte,2.0,0.0,5.0,0.0,1.0
1.5252056,5.0158234,0d,Stem,0.0,0.0,4.0,0.0,2.0
4.709881,7.0488806,0d,Cycling,0.0,0.0,1.0,2.0,0.0
5.1765084,16.204071,0d,Fibroblast,1.0,1.0,0.0,0.0,0.0
1.7354586,4.838083,0d,Stem,0.0,1.0,0.0,2.0,1.0
-5.302598,6.323892,0d,Cycling,0.0,2.0,2.0,2.0,0.0
0.18647039,11.70619,0d,TA,2.0,2.0,0.0,0.0,0.0
12.476703,5.4300985,0d,Neuron,0.0,1.0,4.0,0.0,2.0
5.197055,5.425757,0d,Cycling,1.0,0.0,0.0,2.0,0.0
2.4616134,25.50202,0d,Mesothelial,0.0,1.0,4.0,0.0,0.0
