age,age_weeks,cell_type,Picalm,Adam10,App,Sorl1,Psen1
1w,1.0,Neuron,0.56989247,0.3655914,2.935484,0.3655914,0.3655914
1w,1.0,SMC,0.20535715,0.2767857,0.66964287,0.071428575,0.20535715
1w,1.0,Stem,0.3736842,0.43157893,1.0526316,0.69473684,0.3
1w,1.0,T,0.0,0.6666667,0.0,1.0,0.6666667
1w,1.0,TA,0.4083205,0.6348228,1.0708783,0.80893683,0.6163328
1w,1.0,Tuft,0.0,0.6666667,1.6666666,0.6666667,0.0
1w,1.0,Vascular,0.42857143,0.7619048,2.0,0.0,0.23809524
2w,2.0,B,0.0,0.6666667,0.0,1.0,0.33333334
2w,2.0,Colonocyte,0.53424656,0.5479452,1.369863,0.38356164,0.5479452
2w,2.0,Cycling,0.42259413,0.38912135,0.7949791,0.42259413,0.39748955
2w,2.0,Enteroendocrine,0.22222222,0.33333334,1.1111112,0.33333334,0.6666667
2w,2.0,Fibroblast,0.33333334,0.26666668,0.8666667,0.033333335,0.26666668
2w,2.0,Glia,0.25,0.5,1.3333334,0.16666667,0.25
2w,2.0,Lymphatic,0.33333334,0.0,1.3333334,0.0,0.33333334
2w,2.0,Macrophage,0.2857143,0.14285715,1.4285715,0.5714286,0.42857143
2w,2.0,Mesothelial,0.2,0.53333336,1.6,0.06666667,0.06666667
2w,2.0,Neuron,0.625,0.40625,3.59375,0.71875,0.28125
2w,2.0,SMC,0.42857143,0.35714287,1.0714285,0.21428572,0.5
2w,2.0,Stem,0.70212764,0.25531915,0.7234042,0.42553192,0.31914893
2w,2.0,T,0.8888889,0.6666667,0.22222222,0.22222222,0.5555556
2w,2.0,TA,0.29532164,0.374269,0.94736844,0.33040935,0.46783626
2w,2.0,Tuft,1.0,0.25,1.25,0.0,0.0
2w,2.0,Vascular,0.0,0.0,0.0,0.0,0.0
2yr,104.0,B,0.58536583,0.6554878,0.2621951,1.1128049,0.3628049
2yr,104.0,Colonocyte,2.087838,1.045045,2.6869369,1.4662162,2.1373873
2yr,104.0,Cycling,1.3162394,1.0769231,1.8233619,0.991453,1.1538461
2yr,104.0,Enteroendocrine,1.0243902,1.1707317,3.2317073,1.2439024,0.76829267
2yr,104.0,Fibroblast,0.8306878,0.47089946,1.3544973,0.15873016,0.2962963
2yr,104.0,Glia,0.20454545,0.54545456,1.25,0.13636364,0.27272728
2yr,104.0,Goblet,2.9375,1.4375,5.5625,3.0,3.0625
2yr,104.0,Lymphatic,0.7167382,1.193133,2.4248927,0.10300429,0.21459228
2yr,104.0,Macrophage,1.1038961,0.72727275,1.6883117,0.6753247,0.5064935
2yr,104.0,Mesothelial,0.484375,0.90625,4.40625,0.75,0.25
2yr,104.0,Neuron,1.2083334,0.7916667,9.041667,1.7916666,0.9583333
2yr,104.0,SMC,0.75252527,0.53535354,1.8434343,0.4040404,0.37878788
2yr,104.0,Stem,1.5687203,0.7109005,2.113744,0.82464457,0.8056872
2yr,104.0,T,0.736,0.512,0.416,0.592,0.352
2yr,104.0,TA,0.9087209,1.091279,2.3372092,1.0186046,1.2726744
2yr,104.0,Tuft,1.5853659,1.6097561,1.902439,1.3414634,0.8780488
2yr,104.0,Vascular,0.8484849,0.9191919,2.6767676,0.16161616,0.34343433
3w,3.0,B,0.8611111,0.7777778,0.6666667,1.4166666,0.6666667
3w,3.0,Colonocyte,1.1766529,0.7696281,1.9555786,1.0268595,1.2169422
3w,3.0,Cycling,0.784897,0.84897023,1.346682,0.5194508,0.72540045
