organ,age_months,n_samples,n_spots_total,n_spots_pAD_valid,median_logp,q25_logp,q75_logp,frac_genomewide_sig
Colon,21,1.0,10000.0,10000.0,1.5708228345435171,0.8629210067911488,2.7100118392066355,0.0008
Colon,23,1.0,10000.0,9913.0,1.1594486668783317,0.5010051334502966,1.9212311970284568,0.0
Colon,24,1.0,1955.0,1955.0,2.619161242368294,1.6511498095446657,3.591850501472631,0.0010230179028132991
Colon,30,1.0,1887.0,1887.0,2.863872206823064,1.8843141349392443,3.8979284927929427,0.002649708532061473
Heart,1,1.0,946.0,923.0,2.4826602762259267,1.308911358293641,3.4763698763108444,0.0010834236186348862
Heart,3,2.0,10534.0,10490.0,1.0382696533374371,0.21287564842864107,2.292305458831125,0.001525262154432793
Heart,6,1.0,10000.0,9982.0,0.8802231140459418,0.13043576602522866,1.9736283197647437,0.0
Heart,12,1.0,10000.0,9993.0,0.9423067427234502,0.1759391808073853,2.0698831802553816,0.00010007004903432403
Heart,16,1.0,10000.0,9961.0,1.1557128850635694,0.18122879383168572,2.16014943449734,0.00060234916173075
Heart,18,1.0,1143.0,1099.0,1.941960945851276,0.4353370827055512,3.518615796578104,0.012738853503184714
Heart,21,1.0,918.0,853.0,2.273431538756114,1.0740442471891405,3.3752170244041535,0.03751465416178194
Heart,23,1.0,10000.0,9994.0,1.149997865585002,0.15475159283815057,2.0725631578907793,0.0016009605763458075
Heart,24,1.0,768.0,728.0,2.4098400555829107,0.8864579882360749,3.643269718787889,0.013736263736263736
Heart,30,1.0,4304.0,4281.0,2.4122427674183538,1.4195515419483393,3.299018409468623,0.003270263957019388
Ileum,3,1.0,9994.0,9940.0,1.8159784297824781,0.6729230236065761,2.704476140649146,0.0
Ileum,6,1.0,9994.0,9899.0,1.6903281350459889,0.8054785606051211,2.514508155589959,0.0
Ileum,12,2.0,19977.0,19897.0,1.7781123125312275,1.1410808268020065,2.524878520361491,0.0
Ileum,16,1.0,9995.0,9910.0,1.751744218155899,0.7934224576484521,2.732995925710302,0.0
Ileum,18,1.0,9983.0,9959.0,1.9469690065320993,1.5313395313780847,2.4215056231068868,0.0
Ileum,21,1.0,9985.0,9985.0,2.3448970472755764,1.8006937996461512,2.929933105058882,0.00010015022533800701
