Gene,Annotation,Median_GSS,PCC
MUC17,Colon Tissue,1.84423828125,0.3704585925244574
HINT3,Colon Tissue,0.0,0.3704044638615993
NDUFA3,Colon Tissue,1.7802734375,0.36962514404257546
UCP2,Colon Tissue,1.7373046875,0.36949967461127886
FAU,Colon Tissue,1.826171875,0.36930323718403013
ABCD3,Colon Tissue,0.0,0.36924451152316
CTNNB1,Colon Tissue,0.0,0.3690070470743626
CLCN2,Colon Tissue,0.0,0.36877794548514026
C19orf33,Colon Tissue,1.826171875,0.36829053556067837
CIB1,Colon Tissue,0.0,0.3680495153918734
MBOAT1,Colon Tissue,0.0,0.36729599972671706
ID3,Colon Tissue,0.0,0.36588758392336185
PON2,Colon Tissue,0.0,0.36393233572930633
SGK1,Colon Tissue,0.0,0.3635323943247768
LASP1,Colon Tissue,0.0,0.36350921802094094
DSP,Colon Tissue,0.0,0.36344608741709433
DSG2,Colon Tissue,0.0,0.36343666783479034
PFN1,Colon Tissue,1.7529296875,0.36342891221714685
PLS1,Colon Tissue,0.0,0.3632194301118618
PLGRKT,Colon Tissue,0.0,0.36241833797286155
ENDOD1,Colon Tissue,0.0,0.36213176981919576
ID1,Colon Tissue,0.0,0.3619718995329081
YWHAZ,Colon Tissue,0.0,0.3618271630465283
AZIN1,Colon Tissue,0.0,0.36169803752883867
ATP6V0E1,Colon Tissue,0.0,0.36146416873488824
SCIN,Colon Tissue,0.0,0.36125580034252563
IPMK,Colon Tissue,0.0,0.3609035359726296
DEGS2,Colon Tissue,0.0,0.3603864216975286
GHITM,Colon Tissue,0.0,0.3603798057031283
ZNF706,Colon Tissue,0.0,0.36029585928905444
CRB3,Colon Tissue,0.0,0.36020176586035485
LMO7,Colon Tissue,0.0,0.35980658286444606
CLRN3,Colon Tissue,0.0,0.35956701265610524
DSC2,Colon Tissue,0.0,0.3592404757782884
ATP5MPL,Colon Tissue,1.8017578125,0.3587602526692005
ATP5IF1,Colon Tissue,1.7421875,0.35858273413140496
S100A6,Colon Tissue,1.798828125,0.3584239581094354
EIF1,Colon Tissue,1.791015625,0.3583232779201289
NDUFB4,Colon Tissue,0.0,0.35828457927462765
CHMP5,Colon Tissue,0.0,0.3582063005672259
TM4SF20,Colon Tissue,0.0,0.3577614770310585
GNA11,Colon Tissue,0.0,0.35715357542267345
TMEM171,Colon Tissue,0.0,0.35672062705459806
MTCH2,Colon Tissue,0.0,0.35665887266325497
CAB39,Colon Tissue,0.0,0.35619846710504427
CS,Colon Tissue,0.0,0.3555848245539907
DHRS11,Colon Tissue,0.0,0.35551482579430743
UGP2,Colon Tissue,0.0,0.3552426934354555
CDH1,Colon Tissue,0.0,0.3549615582523185
ATP5MD,Colon Tissue,1.7451171875,0.35469029325737944
TMA7,Colon Tissue,1.720703125,0.3540560858807038
NDUFC1,Colon Tissue,1.7529296875,0.3538925425995523
PDE9A,Colon Tissue,0.0,0.35386350458576205
CXADR,Colon Tissue,0.0,0.35382266130198475
ABCC3,Colon Tissue,0.0,0.3537788975640279
PLSCR1,Colon Tissue,0.0,0.3535634370637742
ENTPD8,Colon Tissue,0.0,0.3534719389705755
MCL1,Colon Tissue,0.0,0.35343947087801336
GABARAP,Colon Tissue,0.0,0.3533351198118167
HEPH,Colon Tissue,0.0,0.3531235810062423
SLC9A3,Colon Tissue,0.0,0.3517949292042373
PDLIM1,Colon Tissue,0.0,0.35149634653176265
FOSL2,Colon Tissue,0.0,0.3513440737760374
JUNB,Colon Tissue,0.0,0.35125539272177614
TMSB10,Colon Tissue,1.763671875,0.35100950597134006
CLCA1,Colon Tissue,0.0,0.3507994870575085
CORO2A,Colon Tissue,0.0,0.3507724900070408
C15orf48,Colon Tissue,0.0,0.3505289637856545
UBB,Colon Tissue,1.7373046875,0.3500468488514156
COA3,Colon Tissue,0.0,0.3499678984604919
CCNG2,Colon Tissue,0.0,0.34961839812675916
LYPD8,Colon Tissue,1.857421875,0.34955336861340086
RAB11A,Colon Tissue,0.0,0.34932403734593936
LAMP1,Colon Tissue,1.728515625,0.3492834607785049
MPST,Colon Tissue,0.0,0.3492761581161935
SLC39A4,Colon Tissue,0.0,0.3483032042575854
CBR1,Colon Tissue,0.0,0.3479805180476969
SLC2A1,Colon Tissue,0.0,0.34792856332353533
SPPL2A,Colon Tissue,0.0,0.3471806413322824
KLC4,Colon Tissue,0.0,0.34687416793494524
ATP5F1A,Colon Tissue,1.7880859375,0.34673001538457227
ST14,Colon Tissue,0.0,0.3464584068989347
CD82,Colon Tissue,0.0,0.3464112667253554
GPI,Colon Tissue,0.0,0.34619932272091325
ATP6V0C,Colon Tissue,1.7392578125,0.3455245562191662
EIF6,Colon Tissue,0.0,0.34547272516090455
ARHGAP27,Colon Tissue,0.0,0.3454465709269456
FAM83E,Colon Tissue,0.0,0.3453943882812444
ENTPD5,Colon Tissue,0.0,0.3451949506517291
PLPP2,Colon Tissue,0.0,0.34512403316913
UBALD2,Colon Tissue,0.0,0.34495015585600397
TALDO1,Colon Tissue,1.720703125,0.34491367134174544
GNB1,Colon Tissue,0.0,0.3448060673246536
