umap_1,umap_2,cell_type,PICALM,CD2AP,ADAM10,CR1,APP,SORL1,PSEN1
14.096961,7.4524894,enterocyte of epithelium of small intestine,1.0,2.0,0.0,0.0,0.0,5.0,0.0
-0.5781756,12.445265,tuft cell of colon,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2.927431,-4.3713217,colon goblet cell,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3.2495906,-5.8336797,colon goblet cell,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2.4819186,3.2242138,transit amplifying cell of colon,0.0,0.0,1.0,0.0,2.0,1.0,0.0
11.745645,2.1691098,intestinal crypt stem cell of small intestine,0.0,0.0,0.0,0.0,2.0,1.0,1.0
8.26726,8.277423,enterocyte of epithelium of small intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.861227,3.2966459,transit amplifying cell of small intestine,0.0,4.0,2.0,0.0,6.0,0.0,0.0
-1.2637628,2.9232106,enterocyte of epithelium of large intestine,1.0,1.0,0.0,0.0,4.0,0.0,2.0
3.1132839,-3.5120597,colon goblet cell,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10.730465,0.98267955,intestinal crypt stem cell of small intestine,1.0,3.0,1.0,0.0,7.0,1.0,1.0
9.661972,13.972911,enterocyte of epithelium of small intestine,1.0,2.0,1.0,0.0,0.0,2.0,1.0
-3.7611337,4.3991857,enterocyte of epithelium of large intestine,0.0,5.0,2.0,0.0,12.0,4.0,0.0
8.747212,11.617085,enterocyte of epithelium of small intestine,3.0,2.0,1.0,0.0,8.0,2.0,1.0
2.7816255,-3.7006679,colon goblet cell,1.0,0.0,0.0,0.0,0.0,1.0,0.0
9.767276,9.080672,enterocyte of epithelium of small intestine,0.0,1.0,0.0,0.0,5.0,0.0,1.0
8.792115,10.2114105,enterocyte of epithelium of small intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.710722,4.558864,enterocyte of epithelium of large intestine,3.0,4.0,4.0,0.0,9.0,3.0,4.0
11.350544,4.9763956,enterocyte of epithelium of small intestine,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9.674118,3.5138679,enterocyte of epithelium of small intestine,0.0,0.0,1.0,0.0,3.0,1.0,1.0
1.2937622,9.0048485,enteroendocrine cell of colon,1.0,1.0,1.0,0.0,2.0,0.0,0.0
10.595764,3.6261935,enterocyte of epithelium of small intestine,0.0,1.0,1.0,0.0,2.0,0.0,0.0
13.8918295,6.4652658,enterocyte of epithelium of small intestine,0.0,1.0,0.0,0.0,3.0,0.0,1.0
2.870339,2.8093212,transit amplifying cell of colon,0.0,4.0,0.0,0.0,2.0,0.0,0.0
-0.8780062,3.664374,enterocyte of epithelium of large intestine,1.0,0.0,2.0,0.0,1.0,2.0,0.0
-3.1027439,-1.6611887,BEST4+ enterocyte,0.0,1.0,0.0,0.0,1.0,2.0,0.0
-0.9703075,3.9695737,enterocyte of epithelium of large intestine,0.0,1.0,0.0,0.0,3.0,0.0,0.0
9.959652,8.174119,enterocyte of epithelium of small intestine,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0587114,8.03804,enteroendocrine cell of small intestine,0.0,2.0,0.0,0.0,0.0,0.0,0.0
10.047746,0.5174869,intestinal crypt stem cell of small intestine,1.0,1.0,1.0,0.0,2.0,0.0,0.0
11.4189825,1.2693444,intestinal crypt stem cell of small intestine,0.0,3.0,0.0,0.0,2.0,0.0,0.0
-0.46492633,3.2515762,enterocyte of epithelium of large intestine,1.0,1.0,1.0,0.0,3.0,1.0,0.0
2.9869285,2.8430798,transit amplifying cell of colon,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.13517,1.91471,intestinal crypt stem cell of small intestine,2.0,2.0,0.0,0.0,5.0,0.0,1.0
10.088881,8.932449,enterocyte of epithelium of small intestine,0.0,4.0,1.0,0.0,0.0,0.0,1.0
-0.6710739,4.0699263,enterocyte of epithelium of large intestine,1.0,1.0,0.0,0.0,5.0,0.0,0.0
4.225203,8.840192,epithelial cell of small intestine,0.0,2.0,0.0,0.0,0.0,1.0,1.0
-0.16954362,2.4948616,enterocyte of epithelium of large intestine,1.0,1.0,0.0,0.0,1.0,1.0,0.0
9.542072,9.450881,enterocyte of epithelium of small intestine,1.0,2.0,0.0,0.0,0.0,0.0,0.0
3.3232818,-3.396384,colon goblet cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.478658,6.2006617,enterocyte of epithelium of small intestine,2.0,1.0,0.0,0.0,1.0,2.0,0.0
2.8133814,-2.2502146,colon goblet cell,0.0,2.0,2.0,0.0,1.0,2.0,0.0
8.321446,2.0838962,transit amplifying cell of small intestine,1.0,1.0,1.0,0.0,4.0,1.0,0.0
8.458475,-4.891899,small intestine goblet cell,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9.188932,10.424834,enterocyte of epithelium of small intestine,1.0,3.0,0.0,0.0,0.0,4.0,0.0
1.6535413,13.921975,intestinal tuft cell,0.0,0.0,1.0,0.0,3.0,1.0,1.0
3.0425994,-2.9006915,colon goblet cell,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.9450502,-4.500433,small intestine goblet cell,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2.8330355,-5.444549,colon goblet cell,1.0,4.0,1.0,0.0,6.0,0.0,2.0
13.48948,6.3777757,enterocyte of epithelium of small intestine,3.0,9.0,1.0,0.0,1.0,2.0,0.0
1.6639884,3.5796185,transit amplifying cell of colon,1.0,1.0,1.0,0.0,3.0,1.0,0.0
10.813697,8.641023,enterocyte of epithelium of small intestine,0.0,5.0,0.0,0.0,2.0,0.0,0.0
-5.3664174,3.52023,enterocyte of epithelium of large intestine,3.0,5.0,0.0,0.0,8.0,1.0,3.0
-0.8410774,0.7309514,BEST4+ enterocyte,1.0,3.0,0.0,0.0,7.0,0.0,2.0
9.078488,11.023286,enterocyte of epithelium of small intestine,0.0,3.0,1.0,0.0,1.0,1.0,0.0
10.447823,7.8140664,enterocyte of epithelium of small intestine,1.0,2.0,0.0,0.0,2.0,0.0,1.0
8.037277,-4.989022,small intestine goblet cell,0.0,0.0,0.0,0.0,4.0,0.0,0.0
4.8390245,8.207049,epithelial cell of small intestine,0.0,0.0,0.0,0.0,0.0,2.0,0.0
-2.305168,3.6000888,enterocyte of epithelium of large intestine,0.0,2.0,0.0,0.0,4.0,0.0,2.0
0.2749266,3.1215534,enterocyte of epithelium of large intestine,1.0,1.0,1.0,0.0,4.0,1.0,2.0
2.797258,-3.0844212,colon goblet cell,0.0,0.0,0.0,0.0,2.0,0.0,0.0
7.4612527,-4.129733,small intestine goblet cell,0.0,0.0,0.0,0.0,3.0,1.0,0.0
1.740911,2.1896257,intestinal crypt stem cell of colon,1.0,0.0,0.0,0.0,3.0,0.0,0.0
0.059330005,3.1326246,enterocyte of epithelium of large intestine,0.0,5.0,1.0,0.0,11.0,0.0,2.0
8.592273,8.228205,enterocyte of epithelium of small intestine,1.0,3.0,8.0,0.0,10.0,3.0,0.0
-2.1977537,12.199446,tuft cell of colon,0.0,1.0,0.0,0.0,5.0,0.0,0.0
3.9544742,9.405308,epithelial cell of small intestine,0.0,3.0,1.0,0.0,2.0,2.0,1.0
-2.0068135,2.8731782,enterocyte of epithelium of large intestine,0.0,0.0,0.0,0.0,3.0,0.0,0.0
